week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_rushingAttempts,proj_rushingYards,proj_passingTouchdowns,proj_receivingTouchdowns
1,2025-09-07,New York Giants,Washington Commanders,Theo Johnson,2025-09-07T08:35:32.278407,29.563000249852905,2.103750120410917,,,,,,,,,
1,2025-09-07,New York Giants,Washington Commanders,Tyrone Tracy,2025-09-07T08:35:32.279236,12.048750005218011,1.9792500468249314,,,,,,,51.58449758330494,,
1,2025-09-07,New York Giants,Washington Commanders,Tyrone Tracy Jr.,2025-09-07T08:35:32.278630,,,,,,,,12.939749016954053,,,
1,2025-09-07,New York Giants,Washington Commanders,Wan'Dale Robinson,2025-09-07T08:35:32.279634,27.281247962834442,3.316500160301958,,,,,,,,,
1,2025-09-07,New York Giants,Washington Commanders,Zach Ertz,2025-09-07T08:35:32.280027,32.5,3.5874999902471902,,,,,,,,,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Aaron Rodgers,2025-09-07T08:35:34.746534,,,,0.37975000155033184,28.239750867522176,20.79675015461662,184.23075565954943,1.0342499713103774,,0.898500016307028,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Braelon Allen,2025-09-07T08:35:34.747198,,,,,,,,8.063249979845686,21.975248923119494,,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Breece Hall,2025-09-07T08:35:34.748327,19.795000570529737,3.020000234489454,0.16817715652506288,,,,,10.69499964534638,48.371501903414696,,0.06882289733345409
1,2025-09-07,Pittsburgh Steelers,New York Jets,DK Metcalf,2025-09-07T08:35:34.748899,59.19075044006269,3.633750274118399,,,,,,,,,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Garrett Wilson,2025-09-07T08:35:34.749529,55.5,5.481000281958643,,,,,,,,,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Jaylen Warren,2025-09-07T08:35:34.750479,17.315999909974785,3.138750014789701,0.13424243939942687,,,,,,57.74174986850523,,0.040257561882847855
1,2025-09-07,Pittsburgh Steelers,New York Jets,Jonnu Smith,2025-09-07T08:35:34.750889,29.98475123507477,3.50249997282162,,,,,,,,,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Justin Fields,2025-09-07T08:35:34.752613,,,,0.45649997861331804,24.103750397868758,15.064499294239495,172.71924367108053,9.239500363573594,52.10325024550903,0.7147500202751605,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Kaleb Johnson,2025-09-07T08:35:34.753031,,,,,,,,4.8879995414151605,22.87074980573809,,
1,2025-09-07,Pittsburgh Steelers,New York Jets,Mason Taylor,2025-09-07T08:35:34.753421,22.28350087685396,2.3337499801773562,,,,,,,,,
